,train_loss,train_acc
0,0.8937579393386841,0.6682212352752686
1,0.6825096011161804,0.7437799572944641
2,0.6374756097793579,0.7567280530929565
3,0.6131144165992737,0.764561116695404
4,0.5851700305938721,0.7744954824447632
5,0.5662426948547363,0.7813531756401062
6,0.5565220713615417,0.7854786515235901
7,0.5500624775886536,0.7888883948326111
8,0.5436937808990479,0.7909610271453857
9,0.5375658273696899,0.7934456467628479
10,0.5296249985694885,0.7976386547088623
11,0.5049856305122375,0.8068090677261353
12,0.4955776631832123,0.8110391497612
13,0.4853769838809967,0.8149484395980835
14,0.47110334038734436,0.8207699656486511
15,0.45191866159439087,0.8286442160606384
16,0.44261783361434937,0.8325827717781067
17,0.4380631148815155,0.8346205353736877
18,0.4354330897331238,0.8361576199531555
19,0.43319323658943176,0.8369013667106628
20,0.4316187798976898,0.8381215929985046
21,0.4285104274749756,0.8386800289154053
22,0.42640799283981323,0.8401758670806885
23,0.4249110519886017,0.8404571413993835
24,0.42292526364326477,0.8419373035430908
25,0.42066559195518494,0.8428108096122742
26,0.4194771349430084,0.8436881899833679
27,0.41742148995399475,0.8447893261909485
28,0.41425687074661255,0.8451250195503235
29,0.41297534108161926,0.8453701138496399
